date,text,Subjectivity,Polarity,Analysis
2020-10-01,"tesla inc on friday beat wall street estimates for third-quarter vehicle deliveries, driven by higher demand for its mass-produced model 3 sedans.",0.5,0.25,Positive
2020-10-01,tesla inc chief executive elon musk indicated on friday that the u.s. electric carmaker will make a foray into india in 2021.,0.0,0.0,Neutral
2020-09-30,"tesla inc's autopilot has ranked sixth in 10 driver assistance systems evaluated in a european safety assessment, scoring low on its ability to keep drivers engaged.",0.15,0.0,Neutral
2020-09-30,"u.s. electric car maker tesla cut the starting price of its chinese-made model 3 sedans on thursday by about 8% to 249,900 yuan ($36,805), once chinese subsidies for electric vehicles are taken into account, according to its china website.",0.05,0.0,Neutral
2020-09-30,"u.s. electric vehicle maker tesla inc cut on thursday the starting price for its china-made model 3 vehicles by around 8% to 249,900 yuan ($36,805.21) after receiving chinese subsidies for electric vehicles, according to its china website.",0.05,0.0,Neutral
2020-09-29,"u.s. electric vehicle maker tesla inc  is poised to start selling some model 3 vehicles made in china equipped with cobalt-free lithium iron phosphate (lfp) batteries, two people familiar with the matter said.",0.5,0.375,Positive
2020-09-28,"shares of lg chem ltd, which supplies batteries to tesla inc, climbed on tuesday, after media said the u.s. electric vehicle maker was looking to acquire a stake in a battery unit the south korean company wants to dispose of.",0.1,0.2,Positive
2020-09-27,"tesla inc chief executive officer elon musk plans to list spacex's space internet venture, starlink, several years in the future when revenue growth is smooth and predictable.",0.28125,0.05,Positive
2020-09-27,"piedmont lithium  on monday said it signed a five-year deal with tesla inc  to supply high-purity lithium ore mineral to the u.s. electric carmaker, prompting an 83% surge in the australian lithium miner's shares.",0.0,0.0,Neutral
2020-09-24,"china's electric vehicle startups are on the charge again, thanks to tesla.",0.2,0.2,Positive
2020-09-23,"tesla inc's  plan to produce lithium for electric vehicle batteries close to its nevada gigafactory faces stark challenges from the outset, including an onerous permitting process, uncertain access to water and questions about unproven methodologies.",0.6,-0.2,Negative
2020-09-23,"(this sept 23 story corrects headline, first and second paragraph to clarify that no application has been made for building battery cells)",0.16666666666666666,0.125,Positive
2020-09-22,"the advanced battery cell design and new manufacturing processes outlined by tesla inc ceo elon musk are promising, battery experts say, but they questioned how quickly they can be implemented and how much they’ll contribute to reducing overall costs.",0.3757575757575758,0.2116161616161616,Positive
2020-09-22,"tesla inc  shares slumped in early wall street trading as investors and analysts tried to make sense of chief executive elon musk's highly technical ""battery day"" presentation that set lofty targets but was hazy on near-term execution.",0.2,0.05,Positive
2020-09-22,volkswagen ag's <vowg_p.de> u.s. subsidiary on wednesday revealed its id.4 electric sport utility vehicle and a pricing strategy aimed at opening a new front in competition with tesla inc and other automakers.,0.4147727272727273,0.005681818181818177,Positive
2020-09-22,"volkswagen ag's u.s. subsidiary on wednesday revealed its electric sport utility vehicle id.4, which it aims to begin selling in the first quarter of 2021, and said the compact ev will have an estimated driving range of 250 miles.",0.3333333333333333,0.25,Positive
2020-09-22,"tesla inc faced a stock market reality check on wednesday after a much hyped ""battery day"" event which wall street analysts judged chiefly for its omissions and hazy delivery deadlines.",0.2,0.2,Positive
2020-09-22,shares of asian battery suppliers fell on wednesday after tesla inc  outlined a plan to halve the cost of its electric vehicle batteries and bring more production of the key auto component in-house.,0.5,0.16666666666666666,Positive
2020-09-22,"investors slashed $50 billion from tesla inc's  market value on tuesday despite ceo elon musk's promise to cut electric vehicle costs so radically that a $25,000 car that drives itself will be possible, but not for at least three years.",0.7,-0.15,Negative
2020-09-22,"panasonic corp  is studying options for new electric car battery production with partner tesla  after the u.s. carmaker unveiled a plan to expand output and halve the price of the key auto component, the japanese firm said on wednesday.",0.4636363636363636,-0.015909090909090914,Negative
2020-09-21,elon musk is hailed as an innovator and disruptor who went from knowing next to nothing about building cars to running the world's most valuable automaker in the space of 16 years.,0.25,0.25,Positive
2020-09-21,"tesla inc ceo elon musk on tuesday is scheduled to showcase the company's advanced battery technology, with investors expecting he will outline how the company's electric vehicles will surpass the cost and convenience of internal combustion engines.",0.3,0.2,Positive
2020-09-21,"tesla inc  ceo elon musk said improvements to be unveiled at the electric-vehicle maker's ""battery day"" event would not reach ""serious high-volume production"" until 2022, knocking its shares down.",0.47777777777777775,-0.24444444444444446,Negative
2020-09-20,"tesla inc chief executive elon musk said on monday improvements unveiled at the electric-car maker's ""battery day"" event would not reach serious high-volume production until 2022.",0.6666666666666666,-0.3333333333333333,Negative
2020-09-20,"fasten your seatbelt, because tuesday is tesla's ""battery day"", and some investors expect chief executive elon musk's pitch on the electric car maker's energy storage advances to re-energize its rally following a recent 21% stock slump.",0.175,0.0,Neutral
2020-09-20,confused by kilowatts? can’t tell an anode from a cathode? here is a simple guide to the jargon likely to be tossed around at tesla’s battery day on sept. 22.,0.6857142857142856,-0.13333333333333333,Negative
2020-09-18,a federal judge narrowed tesla inc's  lawsuit against a former employee it accused of hacking into its computers and leaking proprietary data to a reporter. the judge also dismissed a defamation counterclaim by the former employee.,0.0,0.0,Neutral
2020-09-13,"u.s. electric carmaker tesla inc won its case against a former employee, who was fired for hacking and transferring company data to third parties, according to court documents filed on thursday.",0.0,0.0,Neutral
2020-09-13,"south korea's lg chem, an electric car battery supplier for tesla inc and gm said on thursday it plans to separate its battery business into a new company as the electric vehicle market takes off.",0.45454545454545453,0.13636363636363635,Positive
2020-09-13,"tesla inc's stock was set for a fifth consecutive session of gains as anticipation heats up for its ""battery day"" event next week, recouping some of its recent valuation slump following a sell-off and surprise exclusion from the s&p.",0.11666666666666665,0.0,Neutral
2020-09-13,"tesla inc  investors were disappointed after the company was snubbed in the s&p 500's latest round of inclusions, but the electric automaker's entry could still happen at any time and a merger by others in the benchmark index might help.",0.6833333333333332,-0.15,Negative
2020-09-13,"tesla is planning to export model 3 vehicles made in china to asian and european markets, two sources familiar with the matter told reuters on friday.",0.16666666666666666,0.125,Positive
2020-09-13,"a rebound in tesla inc shares was set to extend into a third straight session on friday, recouping more of a record 21% drop earlier this week that wiped $80 billion off the electric-car maker's market capitalization.",0.35,0.175,Positive
2020-09-13,"tesla  shares edged up on thursday in u.s. premarket trade, extending a recovery from this week's drop, but analysts see a bumpy ride ahead as an extreme build-up in derivative positions caps the stock and precludes a full rebound.",0.775,0.11249999999999999,Positive
2020-09-13,"tesla inc  shares bounced on wednesday, a day after the electric car maker suffered the biggest one-day percentage drop in the company's history.",0.0,0.0,Neutral
2020-09-13,"tesla inc shed about $80 billion of its market value on tuesday, an amount that overshadows the combined value of general motors co and ford motor co, after its surprise exclusion from the s&p 500 index.",0.5,0.05000000000000002,Positive
2020-09-13,"u.s. stocks closed lower for a third straight session on tuesday as heavyweight technology names extended their sell-off to send the nasdaq into correction territory, while tesla suffered its biggest daily percentage drop after the stock was passed over for inclusion in...",0.125,0.025,Positive
2020-09-13,"general motors co  and electric truck startup nikola corp  will join forces to build electric pickup trucks and fuel cell commercial trucks to take on tesla inc , in a deal that lifted shares in both companies on tuesday.",0.25,0.02500000000000001,Positive
2020-09-13,"u.s. stocks closed lower for a third straight session on tuesday as heavyweight technology names extended their sell-off, while tesla suffered its biggest daily percentage drop after the stock was passed over for inclusion in the s&p 500.",0.125,0.025,Positive
2020-09-13,"* dow down 1.45%, s&p 500 down 1.93%, nasdaq down 2.92% (updates to mid-afternoon, changes byline)",0.2888888888888889,-0.15555555555555559,Negative
2020-09-13,"* indexes off: dow 1.48%, s&p 1.89%, nasdaq 2.70% (updates to early afternoon)",0.3,0.1,Positive
2020-09-13,"* indexes off: dow 1.80%, s&p 2.08%, nasdaq 2.85% (adds comment, details and updates share prices to midday)",0.0,0.0,Neutral
2020-09-13,"* indexes off: dow 1.91%, s&p 2.06%, nasdaq 2.53% (adds comments, details; updates prices)",0.0,0.0,Neutral
2020-09-13,"* indexes off: dow 1.96%, s&p 2.36%, nasdaq 3.35% (updates to open)",0.5,0.0,Neutral
2020-09-13,"robots are not efficient enough for tesla's new car factory in germany, which plans to replace hundreds of them with giant aluminium casting machines to build simpler chassis parts, a person familiar with the matter told reuters.",0.6136363636363636,0.1278409090909091,Positive
2020-09-13,"the nasdaq tumbled more than 3% at the open on tuesday as investors sold off shares of tesla and other tech heavyweights, while simmering u.s.-china tensions and concerns over a rocky economic rebound also weighed on sentiment.",0.39375,0.14375,Positive
2020-09-13,tesla inc tumbled 15% early on tuesday after its surprise exclusion from the s&p 500 index added to the broader sell-off in technology stocks which have dominated wall street's recovery from the coronavirus-driven crash earlier this year.,0.4,0.05,Positive
2020-09-13,"a micro electric vehicle (ev) by general motors' local chinese joint venture becomes the most sold ev model in china, with 15,000 cars sold in china last month, followed by tesla inc's 11,800 model 3 sedans, industry data showed.",0.21333333333333332,0.11000000000000001,Positive
2020-09-13,"a bosnian fan of both ford trucks and elon musk's tesla could not just sit on his hands waiting for the electric carmaker to release its cybertruck, expected from late 2021. instead he came up with his own version of the futuristic vehicle.",0.6666666666666666,0.06666666666666665,Positive
2020-09-13,"volkswagen's <vowg_p.de> chief executive herbert diess on monday sought to quell speculation that the world's largest carmaker, which is on a mass production push for electric cars, has plans to develop deeper ties with start-up rival tesla.",0.0,0.0,Neutral
2020-09-13,"shares of tesla  tumbled 7% in extended trade on friday after the electric car maker was excluded from a group of companies being added to the s&p 500, among them etsy, whose stock market value is less than a 20th of tesla's.",0.03333333333333333,-0.08333333333333333,Negative
2020-09-13,tesla inc was not part of the companies to be added to the s&p 500 as per a list unveiled by the index's manager s&p dow jones indices on friday.,0.0,0.0,Neutral
2020-09-13,"tesla chief executive elon musk met volkswagen's chief executive herbert diess for a courtesy visit during which musk took a test drive in volkswagen's new electric car, a source familiar with the matter said on friday.",0.4772727272727273,0.2556818181818182,Positive
2020-09-13,"tesla inc  shares fell for a third straight day on thursday, as investors who have been betting on the electric-car maker's growth prospects cashed in on the meteoric rally in the stock price this year.",0.2,0.1,Positive
2020-09-13,"tesla's  will use its plant in brandenburg, germany to demonstrate a radical overhaul of how its cars are built, as well as making electric car battery cells and battery packs, chief executive elon musk said on thursday.",0.0,0.0,Neutral
2020-09-13,"silicon valley entrepreneur elon musk praised german vaccine developer curevac  as one the world's most innovative firms in a conversation with german economy minister peter altmaier, a person familiar with the matter told reuters on thursday.",0.4,0.275,Positive
2020-09-13,"silicon valley entrepreneur elon musk and german economy minister peter altmaier consider vaccine company curevac as one the world's most innovative firms, a source said on thursday, after musk and altmaier met on wednesday.",0.5,0.3333333333333333,Positive
2020-09-13,tesla inc's ceo elon musk met with three german ministers and other senior politicians on wednesday to discuss the progress of a collaboration between the car maker and a german biotech company and a planned electric vehicle factory.,0.125,-0.041666666666666664,Negative
2020-09-13,"mercedes-benz engineers are striving to meet every definition of comfort in the new s-class sedan as they try to steal a march on rival tesla, which wowed audiences with its ""fart mode.""",0.45454545454545453,0.13636363636363635,Positive
2020-09-13,"tesla inc shares fell as much as 15% on wednesday, extending previous session's losses after the electric-car maker announced a $5 billion stock offering that was aimed at cashing in on wall street's heightened interest.",0.18333333333333335,0.016666666666666677,Positive
2020-09-13,"by vera eckert, christoph steitz, tom käckenhoff and edward taylor",0.0,0.0,Neutral
2020-09-13,proxy advisory firm glass lewis said late on tuesday it had recommended tesla inc's investors to vote in favor of re-electing chairwoman robyn denholm after having earlier opposed her re-election in june.,0.5,-0.16666666666666666,Negative
2020-09-13,"tesla inc ceo elon musk is scheduled to meet german economy minister peter altmaier on wednesday during a visit to germany, coalition sources told reuters.",0.0,0.0,Neutral
2020-09-13,"tesla inc on tuesday unveiled its biggest program of new share sales as a public company, seeking to cash in on soaring wall street interest in the electric carmaker to raise up to $5 billion that will ease future debt pressures.",0.2154040404040404,0.04545454545454545,Positive
2020-09-13,tesla inc said on tuesday it plans to raise up to $5 billion through a share offering. (reporting by akanksha rana in bengaluru; editing by shinjini ganguli),0.0,0.0,Neutral
2020-09-13,high-flying shares of apple inc  and tesla inc  surged again on monday as stock splits took effect and attracted more buying from investors.,0.5,0.5,Positive
2020-09-13,"the high-flying shares of apple inc and tesla inc gained more ground on monday, ahead of their first official trading following a split into smaller portions that makes it easier for retail investors to own the shares.",0.48666666666666664,0.27,Positive
2020-08-13,"silicon valley entrepreneur elon musk's net worth topped $100 billion on friday, according to the forbes real-time billionaires list, as the shares of electric-car maker tesla inc  see a more than five-fold surge in value this year.",0.19999999999999998,0.26666666666666666,Positive
2020-08-13,"shares of apple inc  and tesla inc  will be less costly on monday as pre-announced stock splits take effect, in theory making them more accessible to retail investors, but as more brokers offer fractional shares, some in the market question the need.",0.36041666666666666,0.30208333333333337,Positive
2020-08-13,"tesla inc shares continued their meteoric rise on thursday, scoring yet another record high and further expanding the distance between the silicon valley electric carmaker and its traditional auto industry rivals.",0.5966666666666667,0.05333333333333334,Positive
2020-08-13,"tesla inc  ceo elon musk has suggested the u.s. electric carmaker may be able to mass produce batteries with 50% more energy density in three to four years, which could even enable electric airplanes.",0.5625,0.5,Positive
2020-08-13,"tesla inc's chief executive elon musk has suggested the u.s. electric carmaker may be able to mass produce longer-life batteries with 50% more energy density in three to four years. ""400 wh/kg *with* high cycle life, produced in volume (not just a lab) is not far. probably...",0.66625,0.27749999999999997,Positive
2020-08-13,"a group of tech companies and automakers, including tesla inc , ford motor co , honda motor co ltd  and daimler ag , on monday urged the u.s. federal trade commission to seek an appeal after its loss in a case against chip supplier qualcomm...",0.0,0.0,Neutral
2020-08-13,"shares of tesla inc surged past the $2,000 mark on thursday for the first time as the electric car maker extended its recent rally ahead of an upcoming share split.",0.27777777777777773,0.0,Neutral
2020-08-13,tesla inc. asked the federal communications commission (fcc) for approval to market a short-range interactive motion-sensing device that could help prevent children from being left behind in hot cars and boost theft-prevention systems.,0.5166666666666667,-0.05000000000000001,Negative
2020-07-13,"tesla inc on tuesday announced a five-for-one stock split, sending the electric carmaker's recently high-flying shares up 7% in extended trade.",0.25,0.0,Neutral
2020-07-13,"tesla inc on tuesday announced a five-for-one stock split, which it said will begin on aug. 31. (reporting by munsif vengattil in bengaluru; editing by sriraj kalluvila)",0.0,0.0,Neutral
2020-07-13,"a 17-year-old florida boy accused of masterminding the hacking of celebrity accounts on twitter inc, including those of democratic presidential candidate joe biden and tesla chief executive elon musk, pled not guilty to charges on tuesday.",1.0,0.25,Positive
2020-07-13,"russia's main unofficial tesla dealer hopes zero customs fees will lift sales of the u.s. vehicles, despite their relatively high price and a fledgling charging infrastructure.",0.43666666666666665,0.16333333333333333,Positive
2020-07-13,"tesla inc  chief executive elon musk said in a podcast released on friday that demand for the company's electric vehicles remained strong throughout the coronavirus pandemic, with consumers preferring to shop online.",0.7333333333333333,0.4333333333333333,Positive
2020-07-13,"tesla inc chief executive elon musk in a podcast released on friday said that demand for the company's electric vehicles remained strong throughout the coronavirus pandemic, with consumers preferring to shop online instead of crowding into dealership shops.",0.7333333333333333,0.4333333333333333,Positive
2020-07-13,"lg chem, an electric vehicle battery supplier for tesla, volkswagen <vowg_p.de> and others, said on friday it expects profitability in its battery business to rise in the second half, helping shares surge nearly 10%.",0.18888888888888888,-0.022222222222222216,Negative
2020-07-13,carmakers that once competed mainly over the power of their engines are now vying over a much less tangible sort of power as they race to develop automated vehicles - computing.,0.19999999999999998,0.0,Neutral
2020-07-13,"panasonic corp  plans to boost the energy density of ""2170"" battery cells it supplies to tesla inc  by 20% in five years and commercialize a cobalt-free version ""in two to three years"", the head of its u.s. ev battery business said.",0.0,0.0,Neutral
2020-07-13,tesla inc  chief executive officer elon musk said on tuesday that the company is open to licensing software and supplying powertrains and batteries.,0.5,0.0,Neutral
2020-07-13,"south korea said it is investigating suspected safety issues with vehicles made by u.s. automaker tesla inc , which is competing strongly with hyundai motor co  in the south korean electric vehicle market.",0.7333333333333333,0.4333333333333333,Positive
2020-07-13,"tesla inc  received payroll related benefits from the government in the first half of the year to help reduce the impact of the coronavirus pandemic on its business, the electric carmaker said in a filing on tuesday.",0.3,0.02777777777777778,Positive
2020-07-13,"tesla inc  has launched a hiring spree in shanghai with plans to bring on designers at its china studio and about 1,000 factory workers, job posts show, as the u.s. electric vehicle maker ramps up production in the world's biggest auto market.",0.0,0.0,Neutral
2020-07-13,elon musk faces something of a reality check after his call this week for more nickel mines to feed the batteries that tesla and other carmakers need to power their electric vehicles.,0.4375,0.1875,Positive
2020-07-13,"tesla inc  boss elon musk urged miners to produce more nickel, a key ingredient in the batteries that power the company's electric cars, warning the current cost of batteries remained a big hurdle to the company's growth.",0.5,0.125,Positive
2020-07-13,"tesla inc boss elon musk urged miners to produce more nickel, a key ingredient in the batteries that power the company's electric cars, warning the current cost of batteries remained a big hurdle to the company's growth.",0.5,0.125,Positive
2020-07-13,"tesla inc  on wednesday posted a second-quarter profit as cost cuts and strong deliveries helped offset coronavirus-related factory shutdowns, sending its stock up 4.4% in after-hours trading and clearing a hurdle that could lead to the electric carmaker's inclusion...",0.7333333333333333,0.4333333333333333,Positive
2020-07-13,"tesla will build its $1.1 billion cybertruck factory near austin, texas, ending an intense competition with neighboring oklahoma, the electric carmaker's chief executive, elon musk, announced late on wednesday.",0.6666666666666666,1.850371707708594e-17,Positive
2020-07-13,"tesla will build its next factory near austin, texas, chief executive elon musk announced late on wednesday.",0.3333333333333333,-0.06666666666666667,Negative
2020-07-13,"tesla investors have put the hopes for a world of electric vehicles almost exclusively on elon musk’s shoulders. his palo alto, california-based car company, which reported a $104 million second-quarter profit on wednesday afternoon, is close to topping $300 billion in market...",0.0,0.0,Neutral
2020-07-13,tesla inc's  shares extended their rally on wednesday ahead of a quarterly report from the electric car maker that might clear the way for it to join the s&p 500 and attract over $40 billion in new demand for the stock.,0.41893939393939394,0.1181818181818182,Positive
2020-07-13,"tesla inc on wednesday beat analysts' estimates for second-quarter revenue, helped by better-than-expected vehicle deliveries despite disruptions caused by the coronavirus crisis.",0.0,0.0,Neutral
2020-07-13,"tesla inc  has advertised for servicing staff in singapore, a country previously criticised by chief executive elon musk as unsupportive of electric vehicles.",0.16666666666666666,-0.16666666666666666,Negative
2020-07-13,"tesla inc's  rapid rise to become the world's most valuable carmaker could mark the start of a new era for the global auto industry, defined by a silicon valley approach to software that is overtaking old-school manufacturing know-how.",0.3181818181818182,0.21212121212121213,Positive
2020-07-13,"tesla chief executive elon musk qualified on tuesday for a payout worth an unprecedented $2.1 billion, his second jackpot since may from the electric car maker following its massive stock surge.",0.42000000000000004,0.18,Positive
2020-07-13,"when tesla inc  reports second-quarter results after the bell on wednesday, investors will be keen to see whether the electric carmaker has delivered a profit during the global pandemic that has sunk most of its internal combustion rivals deep in red ink.",0.18,0.1,Positive
2020-07-13,"convinced of tesla inc's  imminent meteoric rise, orestis palampougioukis, a netherlands-based software developer, took out a 43,000 euro ($49,000) loan in early october to invest it all in the electric carmaker, which at the time was trading at around $230 a share.",0.3,0.1,Positive
2020-07-13,"tesla inc's  vehicle registrations nearly halved in the u.s. state of california during the second quarter, according to data from cross-sell, a marketing research firm that collates title and registration data.",0.26666666666666666,-0.03333333333333333,Negative
2020-07-13,"tesla inc chief executive elon musk and other tesla employees are not at risk of having contracted the novel coronavirus after a july 3 meeting with oklahoma's governor, who said on wednesday he had tested positive for the virus, a spokesman for the governor said.",0.4602272727272727,0.05113636363636363,Positive
2020-07-13,a central texas county that includes austin on tuesday approved a plan to provide millions in tax subsidies to tesla inc  if it builds a $1.1 billion vehicle factory in the area.,0.25,0.0,Neutral
2020-07-13,a central texas county that includes austin on tuesday approved a plan to provide millions in tax subsidies to tesla inc if it builds a $1.1 billion vehicle factory in their community.,0.25,0.0,Neutral
2020-07-13,"tulsa, oklahoma, is an oil-industry town with a 75-foot (23 m) statue called ""the golden driller.""",0.5,0.3,Positive
2020-07-13,"germany has banned tesla from repeating what a court says are misleading advertising statements relating to the capabilities of the firm's driver assistance systems and to autonomous driving, a munich judge ruled on tuesday.",0.55,0.1,Positive
2020-07-13,"u.s. automaker tesla inc  has met with officials from a district in the city of chongqing in southwestern china to discuss ""accelerating projects"", the liangjiang new area said on tuesday.",0.45454545454545453,0.13636363636363635,Positive
2020-06-13,"shares of tesla ended down 3.1% on monday, tapping the brakes on a rally that has boosted the electric car maker's stock by over 40% in two weeks.",0.2888888888888889,-0.15555555555555559,Negative
2020-06-13,"elon musk's net worth soared past warren buffett on friday as the chief executive officer of tesla inc  became the seventh richest person in the world, according to the bloomberg billionaires index.",0.11666666666666665,0.016666666666666663,Positive
2020-06-13,"tesla inc will hold its annual shareholder meeting in person on sept. 22 at its fremont factory in california, the electric carmaker said on friday.",0.0,0.0,Neutral
2020-06-13,-- source link: ,0.0,0.0,Neutral
2020-06-13,"electric vehicle startup rivian, which is backed by amazon  and ford motor  and aims to put an electric pickup and suv in production in 2021, boosted its war chest further with a $2.5-billion investment round led by t. rowe price , rivian said friday.",0.45,-0.1,Negative
2020-06-13,"electric vehicle startup rivian, which is backed by amazon and ford motor and aims to put an electric pickup and suv in production in 2021, boosted its war chest further with a $2.5-billion investment round led by t. rowe price, rivian said friday.",0.45,-0.1,Negative
2020-06-13,"(this story refiles to include full name of s&p dow jones indices in paragraphs 5, 6 and 8)",0.775,0.425,Positive
2020-06-13,"u.s. electric vehicle maker tesla inc  is ""very close"" to achieving level 5 autonomous driving technology, chief executive elon musk said on thursday, referring to the capability to navigate roads without any driver input.",0.5,0.30000000000000004,Positive
2020-06-13,"u.s. electric vehicle maker tesla inc is ""very close"" to level-5 autonomous driving technology, its chief executive, elon musk, said on thursday.",0.5,0.30000000000000004,Positive
2020-06-13,"tesla inc's blistering stock rally is putting chief executive elon musk in reach of a payday potentially worth $1.8 billion, his second jackpot from the electric car maker in about two months.",0.05,0.15,Positive
2020-06-13,"from an eponymous cocktail to eager buyers following the shipping routes of long-awaited cars, tesla inc  is having a moment in south korea, particularly among tech-savvy professionals.",0.21666666666666667,0.08333333333333333,Positive
2020-06-13,"u.s. electric vehicle maker tesla inc  sold 14,954 shanghai-made model 3 vehicles in china in june, up 35% month-on-month, according to the china passenger car association (cpca).",0.0,0.0,Neutral
2020-06-13,"tesla's chief executive officer elon musk is ""a genius who defies common sense and can be overly optimistic,"" panasonic's  ceo said on tuesday, as the japanese firm cautiously moves to expand a battery partnership with the u.s. carmaker.",0.3,-0.16666666666666666,Negative
2020-06-13,"shares of tesla inc  surged 13% to a record high on monday, extending their rally to over 40% in five sessions after analysts raised their price targets on the electric car maker following its strong quarterly deliveries.",0.4577777777777777,0.19777777777777775,Positive
2020-06-13,"shares of tesla surged 10% to a record high on monday, extending their rally to nearly 40% in five sessions after analysts raised their price targets on the electric car maker following its strong quarterly deliveries.",0.44333333333333336,0.17333333333333334,Positive
2020-06-13,"after surpassing toyota motor corp as the world's most valuable automaker and stunning with forecast-beating deliveries, tesla inc has taken time out to poke fun at the company's naysayers - with sales of red satin shorts.",0.425,0.325,Positive
2020-06-13,"south korea's lg chem ltd plans to start producing batteries for tesla inc vehicles at a domestic factory this year after the u.s. electric carmaker raised orders to cope with demand, a person familiar with the matter said on friday.",0.3,0.1875,Positive
2020-06-13,"the german fintech scandal shines a light on its hapless regulator; china’s new security law stinks up the fragrant harbor and elon musk hasn’t just surpassed toyota in market value, he’s becoming as rich as croesus. breakingviews columnists around the world weigh in.",0.6077922077922077,0.023051948051948063,Positive
2020-06-13,tesla inc  on thursday denied media reports and said it had not fired employees who chose to stay at home during the coronavirus pandemic over safety concerns at the carmaker's california factory.,0.0,0.0,Neutral
2020-06-13,"* tesla inc - recent reports that we have terminated employees due to their concerns over health practices are ""fundamentally untrue""",0.3125,-0.0625,Negative
2020-06-13,"tesla inc is building mobile molecule printers to help make the potential covid-19 vaccine being developed by curevac in germany, the electric-car maker's chief executive officer, elon musk, tweeted on wednesday.",0.65,0.05,Positive
2020-06-13,"tesla inc is building mobile molecule printers to help make the potential covid-19 vaccine being developed by curevac in germany, the electric-car maker's ceo elon musk tweeted on wednesday.",0.65,0.05,Positive
2020-06-13,"corona capital is a daily column updated throughout the day by breakingviews columnists around the world with short, sharp pandemic-related insights.",0.35000000000000003,-0.041666666666666664,Negative
2020-06-13,"tesla inc  outpaced analyst estimates for second-quarter vehicle deliveries on thursday, defying a trend of plummeting sales in the wider auto industry as coronavirus-linked lockdown orders kept shoppers at home, and sending its shares up 8%.",0.0,0.0,Neutral
2020-06-13,"tesla inc on thursday beat wall street estimates for second-quarter vehicle deliveries, as lockdowns imposed globally to combat the spread of the coronavirus begin to ease.",0.0,0.0,Neutral
2020-06-13,"tesla inc is building ""rna microfactories"" for coronavirus vaccine developer curevac in germany, the electric carmaker's chief executive officer, elon musk, tweeted on wednesday.",0.0,0.0,Neutral
2020-06-13,tesla inc on wednesday became the highest-valued automaker as its shares surged to record highs and the electric carmaker's market capitalization overtook that of former front runner toyota motors corp.,0.0,0.0,Neutral
2020-06-13,-- source link: ,0.0,0.0,Neutral
2020-06-13,tesla inc  chief elon musk in an internal email called on employees to work hard to allow the electric car maker to break even in the second quarter despite the coronavirus pandemic.,0.18055555555555555,-0.09722222222222222,Negative
2020-06-13,tesla inc chief elon musk in an internal email called on employees to work hard to allow the electric car maker to break even in the second quarter despite the coronavirus pandemic. (reporting by neha malara and tina bellon; editing by shounak dasgupta),0.18055555555555555,-0.09722222222222222,Negative
2020-06-13,a central texas county may decide as early as next week whether to approve millions in tax subsidies to tesla inc if it builds a $1.1 billion vehicle factory in their community.,0.18333333333333335,0.03333333333333333,Positive
